cohort,image,n_gt,probe_area,hit300_full,full_conf,full_rank,masked_conf,masked_rank,dconf
dense,0000291_03201_d_0000884,229,750.0,0,0.0,-1,0.2103,1,0.2103
dense,0000291_03201_d_0000884,229,408.0,0,0.0429,500,0.0113,154,-0.0315
dense,0000291_03201_d_0000884,229,342.0,0,0.0627,389,0.12,3,0.0573
dense,0000291_03201_d_0000884,229,600.0,0,0.0,-1,0.0196,12,0.0196
dense,0000291_03201_d_0000884,229,65.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_03201_d_0000884,229,95.0,0,0.0639,387,0.0626,24,-0.0013
dense,0000291_03201_d_0000884,229,448.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_03201_d_0000884,229,946.0,0,0.0387,533,0.0264,15,-0.0123
dense,0000291_03201_d_0000884,229,1617.0,1,0.5809,81,0.4863,5,-0.0946
dense,0000291_03201_d_0000884,229,462.0,1,0.7569,41,0.7755,2,0.0186
dense,0000291_03201_d_0000884,229,704.0,1,0.7349,49,0.0185,1,-0.7164
dense,0000291_03201_d_0000884,229,912.0,1,0.1735,192,0.2279,1,0.0544
dense,0000291_03201_d_0000884,229,644.0,1,0.3454,137,0.0161,16,-0.3293
dense,0000291_03201_d_0000884,229,672.0,1,0.1067,259,0.0252,5,-0.0815
dense,0000291_03201_d_0000884,229,1350.0,1,0.6949,60,0.6446,2,-0.0502
dense,0000291_03201_d_0000884,229,624.0,1,0.7615,38,0.7462,0,-0.0153
dense,0000291_01201_d_0000874,212,532.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_01201_d_0000874,212,486.0,0,0.1492,187,0.0987,5,-0.0505
dense,0000291_01201_d_0000874,212,680.0,0,0.0,-1,0.4477,0,0.4477
dense,0000291_01201_d_0000874,212,3444.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_01201_d_0000874,212,150.0,0,0.0,-1,0.0024,78,0.0024
dense,0000291_01201_d_0000874,212,495.0,0,0.0136,827,0.0059,34,-0.0077
dense,0000291_01201_d_0000874,212,190.0,0,0.0,-1,0.0375,11,0.0375
dense,0000291_01201_d_0000874,212,1218.0,0,0.0,-1,0.1257,3,0.1257
dense,0000291_01201_d_0000874,212,180.0,1,0.2968,122,0.4196,3,0.1229
dense,0000291_01201_d_0000874,212,3200.0,1,0.7583,34,0.8081,1,0.0498
dense,0000291_01201_d_0000874,212,1196.0,1,0.8302,20,0.8418,0,0.0116
dense,0000291_01201_d_0000874,212,408.0,1,0.3033,121,0.0,-1,-0.3033
dense,0000291_01201_d_0000874,212,190.0,1,0.3382,111,0.5978,1,0.2597
dense,0000291_01201_d_0000874,212,841.0,1,0.5915,70,0.5949,3,0.0033
dense,0000291_01201_d_0000874,212,1035.0,1,0.6795,48,0.5725,2,-0.107
dense,0000291_01201_d_0000874,212,3627.0,1,0.8784,11,0.8605,1,-0.0179
dense,0000295_02900_d_0000034,212,36.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_02900_d_0000034,212,99.0,0,0.0422,415,0.0162,20,-0.0261
dense,0000295_02900_d_0000034,212,224.0,0,0.0088,899,0.0688,10,0.0599
dense,0000295_02900_d_0000034,212,70.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_02900_d_0000034,212,504.0,0,0.0663,324,0.0144,21,-0.0519
dense,0000295_02900_d_0000034,212,99.0,0,0.0314,467,0.0027,42,-0.0286
dense,0000295_02900_d_0000034,212,180.0,0,0.0574,342,0.0539,9,-0.0035
dense,0000295_02900_d_0000034,212,99.0,0,0.039,425,0.0517,70,0.0126
dense,0000295_02900_d_0000034,212,288.0,1,0.7281,76,0.7655,2,0.0374
dense,0000295_02900_d_0000034,212,468.0,1,0.4173,136,0.3033,7,-0.114
dense,0000295_02900_d_0000034,212,108.0,1,0.2326,176,0.0,-1,-0.2326
dense,0000295_02900_d_0000034,212,105.0,1,0.2816,157,0.5199,1,0.2383
dense,0000295_02900_d_0000034,212,13090.0,1,0.9447,3,0.8814,3,-0.0633
dense,0000295_02900_d_0000034,212,2475.0,1,0.8647,28,0.8822,1,0.0175
dense,0000295_02900_d_0000034,212,90.0,1,0.2719,162,0.1515,3,-0.1204
dense,0000295_02900_d_0000034,212,240.0,1,0.4682,126,0.4794,3,0.0111
dense,0000291_05201_d_0000893,207,133.0,0,0.0578,432,0.0116,52,-0.0462
dense,0000291_05201_d_0000893,207,1152.0,0,0.8168,37,0.816,1,-0.0008
dense,0000291_05201_d_0000893,207,931.0,0,0.0,-1,0.0138,61,0.0138
dense,0000291_05201_d_0000893,207,693.0,0,0.1007,301,0.0048,20,-0.0959
dense,0000291_05201_d_0000893,207,700.0,0,0.0909,322,0.1373,4,0.0464
dense,0000291_05201_d_0000893,207,728.0,0,0.0242,768,0.0127,28,-0.0115
dense,0000291_05201_d_0000893,207,567.0,0,0.5308,115,0.4109,0,-0.1199
dense,0000291_05201_d_0000893,207,1830.0,0,0.0364,582,0.015,86,-0.0214
dense,0000291_05201_d_0000893,207,285.0,1,0.6182,91,0.5699,2,-0.0483
dense,0000291_05201_d_0000893,207,1134.0,1,0.8394,30,0.8197,1,-0.0196
dense,0000291_05201_d_0000893,207,168.0,1,0.7492,56,0.6596,1,-0.0896
dense,0000291_05201_d_0000893,207,676.0,1,0.2902,177,0.0741,14,-0.2161
dense,0000291_05201_d_0000893,207,144.0,1,0.6635,79,0.5516,3,-0.1119
dense,0000291_05201_d_0000893,207,1140.0,1,0.5395,109,0.4215,5,-0.1179
dense,0000291_05201_d_0000893,207,532.0,1,0.1243,269,0.0,-1,-0.1243
dense,0000291_05201_d_0000893,207,736.0,1,0.4378,138,0.0949,2,-0.3429
dense,0000295_01200_d_0000027,200,216.0,0,0.059,445,0.0765,13,0.0175
dense,0000295_01200_d_0000027,200,208.0,0,0.0423,558,0.0011,285,-0.0412
dense,0000295_01200_d_0000027,200,60.0,0,0.0739,370,0.0331,9,-0.0408
dense,0000295_01200_d_0000027,200,36.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01200_d_0000027,200,48.0,0,0.0,-1,0.0245,88,0.0245
dense,0000295_01200_d_0000027,200,78.0,0,0.0169,946,0.0077,44,-0.0092
dense,0000295_01200_d_0000027,200,168.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01200_d_0000027,200,192.0,0,0.0888,319,0.1118,9,0.023
dense,0000295_01200_d_0000027,200,777.0,1,0.7678,29,0.7998,0,0.032
dense,0000295_01200_d_0000027,200,195.0,1,0.3826,107,0.2311,22,-0.1515
dense,0000295_01200_d_0000027,200,264.0,1,0.1505,222,0.3149,5,0.1644
dense,0000295_01200_d_0000027,200,207.0,1,0.328,126,0.4475,3,0.1195
dense,0000295_01200_d_0000027,200,147.0,1,0.1923,181,0.2579,3,0.0656
dense,0000295_01200_d_0000027,200,312.0,1,0.7588,31,0.6551,1,-0.1037
dense,0000295_01200_d_0000027,200,555.0,1,0.83,17,0.8201,0,-0.0099
dense,0000295_01200_d_0000027,200,168.0,1,0.6076,63,0.5602,0,-0.0473
dense,0000295_02200_d_0000032,193,152.0,0,0.1068,489,0.1453,13,0.0385
dense,0000295_02200_d_0000032,193,209.0,0,0.1288,428,0.3903,9,0.2616
dense,0000295_02200_d_0000032,193,252.0,0,0.1858,325,0.3596,4,0.1738
dense,0000295_02200_d_0000032,193,104.0,0,0.1311,418,0.086,19,-0.0451
dense,0000295_02200_d_0000032,193,1100.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_02200_d_0000032,193,1045.0,0,0.2827,220,0.1242,34,-0.1585
dense,0000295_02200_d_0000032,193,224.0,0,0.1667,348,0.5829,0,0.4162
dense,0000295_02200_d_0000032,193,682.0,0,0.0,-1,0.036,32,0.036
dense,0000295_02200_d_0000032,193,255.0,1,0.7105,61,0.4116,3,-0.2988
dense,0000295_02200_d_0000032,193,1166.0,1,0.8674,28,0.8551,1,-0.0123
dense,0000295_02200_d_0000032,193,465.0,1,0.4343,140,0.5483,0,0.114
dense,0000295_02200_d_0000032,193,152.0,1,0.241,261,0.2842,4,0.0431
dense,0000295_02200_d_0000032,193,168.0,1,0.4101,150,0.6177,4,0.2076
dense,0000295_02200_d_0000032,193,720.0,1,0.5841,97,0.54,4,-0.044
dense,0000295_02200_d_0000032,193,1015.0,1,0.843,37,0.8414,3,-0.0016
dense,0000295_02200_d_0000032,193,242.0,1,0.4735,128,0.6429,5,0.1693
dense,0000291_03801_d_0000887,191,990.0,0,0.0,-1,0.006,40,0.006
dense,0000291_03801_d_0000887,191,870.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_03801_d_0000887,191,663.0,0,0.0,-1,0.0098,14,0.0098
dense,0000291_03801_d_0000887,191,816.0,0,0.0277,363,0.0322,28,0.0045
dense,0000291_03801_d_0000887,191,957.0,0,0.0072,860,0.0284,4,0.0211
dense,0000291_03801_d_0000887,191,1369.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_03801_d_0000887,191,806.0,0,0.0068,909,0.0083,25,0.0015
dense,0000291_03801_d_0000887,191,600.0,0,0.0,-1,0.0348,36,0.0348
dense,0000291_03801_d_0000887,191,992.0,1,0.0432,290,0.0,-1,-0.0432
dense,0000291_03801_d_0000887,191,1378.0,1,0.1887,118,0.0184,16,-0.1703
dense,0000291_03801_d_0000887,191,1029.0,1,0.3099,80,0.0088,19,-0.3011
dense,0000291_03801_d_0000887,191,912.0,1,0.6072,45,0.6684,6,0.0611
dense,0000291_03801_d_0000887,191,672.0,1,0.3546,76,0.4937,1,0.1391
dense,0000291_03801_d_0000887,191,1764.0,1,0.1238,158,0.186,2,0.0622
dense,0000291_03801_d_0000887,191,924.0,1,0.1396,146,0.2314,7,0.0918
dense,0000291_03801_d_0000887,191,1026.0,1,0.79,10,0.8128,0,0.0227
dense,0000295_01400_d_0000028,189,154.0,0,0.0535,407,0.0181,15,-0.0354
dense,0000295_01400_d_0000028,189,60.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01400_d_0000028,189,380.0,0,0.0114,973,0.006,16,-0.0054
dense,0000295_01400_d_0000028,189,132.0,0,0.0,-1,0.011,40,0.011
dense,0000295_01400_d_0000028,189,585.0,0,0.0175,785,0.0283,8,0.0107
dense,0000295_01400_d_0000028,189,60.0,0,0.0,-1,0.0181,133,0.0181
dense,0000295_01400_d_0000028,189,144.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01400_d_0000028,189,117.0,0,0.2851,139,0.0453,93,-0.2398
dense,0000295_01400_d_0000028,189,360.0,1,0.4955,99,0.3897,23,-0.1057
dense,0000295_01400_d_0000028,189,144.0,1,0.2185,160,0.1711,5,-0.0473
dense,0000295_01400_d_0000028,189,216.0,1,0.661,63,0.681,0,0.02
dense,0000295_01400_d_0000028,189,4161.0,1,0.9204,2,0.7981,3,-0.1223
dense,0000295_01400_d_0000028,189,240.0,1,0.4746,101,0.4628,15,-0.0119
dense,0000295_01400_d_0000028,189,168.0,1,0.5497,87,0.4422,8,-0.1075
dense,0000295_01400_d_0000028,189,165.0,1,0.5367,91,0.3721,13,-0.1646
dense,0000295_01400_d_0000028,189,299.0,1,0.308,126,0.6323,3,0.3243
dense,0000291_03401_d_0000885,187,1824.0,0,0.0095,823,0.0122,49,0.0026
dense,0000291_03401_d_0000885,187,273.0,0,0.0106,776,0.0283,25,0.0177
dense,0000291_03401_d_0000885,187,496.0,0,0.0176,556,0.0384,11,0.0208
dense,0000291_03401_d_0000885,187,1120.0,0,0.0,-1,0.0743,1,0.0743
dense,0000291_03401_d_0000885,187,405.0,0,0.0,-1,0.0561,13,0.0561
dense,0000291_03401_d_0000885,187,928.0,0,0.0433,315,0.0029,0,-0.0404
dense,0000291_03401_d_0000885,187,280.0,0,0.0,-1,0.0246,5,0.0246
dense,0000291_03401_d_0000885,187,902.0,0,0.0235,455,0.0166,34,-0.0069
dense,0000291_03401_d_0000885,187,799.0,1,0.6516,63,0.2407,3,-0.4109
dense,0000291_03401_d_0000885,187,1332.0,1,0.7404,49,0.7644,1,0.024
dense,0000291_03401_d_0000885,187,8208.0,1,0.9249,2,0.9179,0,-0.0071
dense,0000291_03401_d_0000885,187,1551.0,1,0.0797,241,0.0143,14,-0.0654
dense,0000291_03401_d_0000885,187,1716.0,1,0.6306,67,0.2085,5,-0.4221
dense,0000291_03401_d_0000885,187,6006.0,1,0.7693,35,0.5725,9,-0.1968
dense,0000291_03401_d_0000885,187,1020.0,1,0.2574,138,0.0061,42,-0.2513
dense,0000291_03401_d_0000885,187,1292.0,1,0.7463,47,0.5433,1,-0.203
dense,0000129_02411_d_0000138,186,56.0,0,0.0621,305,0.0367,10,-0.0255
dense,0000129_02411_d_0000138,186,240.0,0,0.0,-1,0.0,-1,0.0
dense,0000129_02411_d_0000138,186,140.0,0,0.3776,129,0.1636,2,-0.214
dense,0000129_02411_d_0000138,186,96.0,0,0.0388,405,0.0,-1,-0.0388
dense,0000129_02411_d_0000138,186,144.0,0,0.0188,591,0.0,-1,-0.0188
dense,0000129_02411_d_0000138,186,1326.0,0,0.0,-1,0.0178,5,0.0178
dense,0000129_02411_d_0000138,186,154.0,0,0.4645,116,0.3916,2,-0.0729
dense,0000129_02411_d_0000138,186,156.0,0,0.0221,539,0.0377,6,0.0155
dense,0000129_02411_d_0000138,186,84.0,1,0.3337,137,0.0125,70,-0.3211
dense,0000129_02411_d_0000138,186,3534.0,1,0.8889,52,0.8862,1,-0.0028
dense,0000129_02411_d_0000138,186,240.0,1,0.4645,116,0.3802,2,-0.0842
dense,0000129_02411_d_0000138,186,3456.0,1,0.3473,136,0.132,4,-0.2153
dense,0000129_02411_d_0000138,186,2000.0,1,0.8979,40,0.8964,0,-0.0015
dense,0000129_02411_d_0000138,186,56.0,1,0.4083,124,0.1769,3,-0.2314
dense,0000129_02411_d_0000138,186,2964.0,1,0.8826,60,0.8517,1,-0.031
dense,0000129_02411_d_0000138,186,875.0,1,0.3174,139,0.721,0,0.4036
dense,0000295_00600_d_0000024,186,144.0,0,0.0104,941,0.0,-1,-0.0104
dense,0000295_00600_d_0000024,186,216.0,0,0.0769,305,0.0514,13,-0.0254
dense,0000295_00600_d_0000024,186,128.0,0,0.0258,589,0.0126,43,-0.0132
dense,0000295_00600_d_0000024,186,25.0,0,0.0399,467,0.1936,4,0.1537
dense,0000295_00600_d_0000024,186,120.0,0,0.0607,355,0.009,23,-0.0518
dense,0000295_00600_d_0000024,186,56.0,0,0.0485,410,0.0,-1,-0.0485
dense,0000295_00600_d_0000024,186,44.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_00600_d_0000024,186,27.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_00600_d_0000024,186,130.0,1,0.6076,59,0.4483,5,-0.1592
dense,0000295_00600_d_0000024,186,2744.0,1,0.9143,2,0.9113,0,-0.0029
dense,0000295_00600_d_0000024,186,140.0,1,0.5559,62,0.6352,0,0.0793
dense,0000295_00600_d_0000024,186,40.0,1,0.0959,258,0.0751,17,-0.0208
dense,0000295_00600_d_0000024,186,90.0,1,0.7247,42,0.6706,1,-0.0541
dense,0000295_00600_d_0000024,186,98.0,1,0.0819,288,0.0527,55,-0.0291
dense,0000295_00600_d_0000024,186,150.0,1,0.3023,109,0.2701,2,-0.0323
dense,0000295_00600_d_0000024,186,147.0,1,0.0789,298,0.0139,35,-0.065
dense,0000296_01001_d_0000040,181,243.0,0,0.0173,680,0.0078,40,-0.0095
dense,0000296_01001_d_0000040,181,44.0,0,0.0,-1,0.0147,65,0.0147
dense,0000296_01001_d_0000040,181,132.0,0,0.0225,596,0.0364,28,0.0139
dense,0000296_01001_d_0000040,181,84.0,0,0.0119,835,0.1364,5,0.1245
dense,0000296_01001_d_0000040,181,176.0,0,0.0446,401,0.0245,5,-0.0201
dense,0000296_01001_d_0000040,181,264.0,0,0.0,-1,0.0,-1,0.0
dense,0000296_01001_d_0000040,181,24.0,0,0.0,-1,0.0,-1,0.0
dense,0000296_01001_d_0000040,181,240.0,0,0.0,-1,0.0,-1,0.0
dense,0000296_01001_d_0000040,181,494.0,1,0.7945,49,0.6239,0,-0.1706
dense,0000296_01001_d_0000040,181,484.0,1,0.3798,115,0.1328,15,-0.247
dense,0000296_01001_d_0000040,181,128.0,1,0.2019,162,0.3766,2,0.1747
dense,0000296_01001_d_0000040,181,1652.0,1,0.547,89,0.7316,1,0.1846
dense,0000296_01001_d_0000040,181,2597.0,1,0.9265,6,0.93,0,0.0035
dense,0000296_01001_d_0000040,181,320.0,1,0.3553,118,0.2697,8,-0.0856
dense,0000296_01001_d_0000040,181,1100.0,1,0.7088,64,0.7105,3,0.0017
dense,0000296_01001_d_0000040,181,240.0,1,0.2321,153,0.1375,6,-0.0946
dense,0000291_00001_d_0000868,178,128.0,0,0.0141,765,0.0,-1,-0.0141
dense,0000291_00001_d_0000868,178,162.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_00001_d_0000868,178,300.0,0,0.0906,194,0.2296,3,0.139
dense,0000291_00001_d_0000868,178,234.0,0,0.0115,873,0.0075,31,-0.004
dense,0000291_00001_d_0000868,178,21.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_00001_d_0000868,178,228.0,0,0.0,-1,0.027,26,0.027
dense,0000291_00001_d_0000868,178,15.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_00001_d_0000868,178,112.0,0,0.0,-1,0.0184,50,0.0184
dense,0000291_00001_d_0000868,178,624.0,1,0.1883,113,0.3574,3,0.1691
dense,0000291_00001_d_0000868,178,2601.0,1,0.467,56,0.2919,3,-0.1751
dense,0000291_00001_d_0000868,178,1060.0,1,0.6085,35,0.6868,0,0.0783
dense,0000291_00001_d_0000868,178,336.0,1,0.3139,78,0.2076,2,-0.1063
dense,0000291_00001_d_0000868,178,2379.0,1,0.5421,47,0.0,-1,-0.5421
dense,0000291_00001_d_0000868,178,3680.0,1,0.9005,0,0.8983,0,-0.0023
dense,0000291_00001_d_0000868,178,989.0,1,0.2513,89,0.2354,10,-0.0159
dense,0000291_00001_d_0000868,178,490.0,1,0.7983,11,0.7242,0,-0.0741
dense,0000291_02601_d_0000881,178,540.0,0,0.0586,333,0.0,-1,-0.0586
dense,0000291_02601_d_0000881,178,1288.0,0,0.7648,52,0.7648,0,-0.0
dense,0000291_02601_d_0000881,178,418.0,0,0.0,-1,0.0156,15,0.0156
dense,0000291_02601_d_0000881,178,1254.0,0,0.019,665,0.0,-1,-0.019
dense,0000291_02601_d_0000881,178,504.0,0,0.0512,361,0.0061,30,-0.0451
dense,0000291_02601_d_0000881,178,928.0,0,0.0527,353,0.0248,4,-0.028
dense,0000291_02601_d_0000881,178,418.0,0,0.0274,533,0.0428,4,0.0154
dense,0000291_02601_d_0000881,178,846.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_02601_d_0000881,178,1274.0,1,0.6461,75,0.6808,2,0.0347
dense,0000291_02601_d_0000881,178,800.0,1,0.6721,66,0.0575,0,-0.6146
dense,0000291_02601_d_0000881,178,126.0,1,0.1161,233,0.1232,8,0.0071
dense,0000291_02601_d_0000881,178,1064.0,1,0.2291,159,0.0069,17,-0.2222
dense,0000291_02601_d_0000881,178,600.0,1,0.8484,25,0.8437,0,-0.0047
dense,0000291_02601_d_0000881,178,1083.0,1,0.7931,43,0.6195,0,-0.1736
dense,0000291_02601_d_0000881,178,744.0,1,0.8137,36,0.7373,1,-0.0764
dense,0000291_02601_d_0000881,178,1653.0,1,0.482,99,0.3414,6,-0.1407
dense,0000086_01954_d_0000005,173,48.0,0,0.0,-1,0.0121,41,0.0121
dense,0000086_01954_d_0000005,173,48.0,0,0.0184,373,0.0875,14,0.069
dense,0000086_01954_d_0000005,173,40.0,0,0.0,-1,0.0,-1,0.0
dense,0000086_01954_d_0000005,173,78.0,0,0.0253,312,0.0273,36,0.002
dense,0000086_01954_d_0000005,173,84.0,0,0.0095,575,0.0369,14,0.0274
dense,0000086_01954_d_0000005,173,90.0,0,0.0188,365,0.1309,21,0.1121
dense,0000086_01954_d_0000005,173,169.0,0,0.0,-1,0.0,-1,0.0
dense,0000086_01954_d_0000005,173,114.0,0,0.0,-1,0.0,-1,0.0
dense,0000086_01954_d_0000005,173,119.0,1,0.3528,97,0.3644,4,0.0116
dense,0000086_01954_d_0000005,173,90.0,1,0.0472,218,0.0,-1,-0.0472
dense,0000086_01954_d_0000005,173,112.0,1,0.6749,52,0.7245,1,0.0496
dense,0000086_01954_d_0000005,173,315.0,1,0.7425,36,0.7124,1,-0.0301
dense,0000086_01954_d_0000005,173,250.0,1,0.7239,39,0.6952,4,-0.0287
dense,0000086_01954_d_0000005,173,260.0,1,0.7005,47,0.6539,4,-0.0466
dense,0000086_01954_d_0000005,173,128.0,1,0.2819,107,0.3503,2,0.0684
dense,0000086_01954_d_0000005,173,96.0,1,0.3937,93,0.5126,5,0.1189
dense,0000291_02001_d_0000878,172,308.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_02001_d_0000878,172,418.0,0,0.0,-1,0.0,-1,0.0
dense,0000291_02001_d_0000878,172,784.0,0,0.0,-1,0.0097,23,0.0097
dense,0000291_02001_d_0000878,172,440.0,0,0.0401,396,0.0406,7,0.0004
dense,0000291_02001_d_0000878,172,500.0,0,0.0,-1,0.0016,17,0.0016
dense,0000291_02001_d_0000878,172,903.0,0,0.021,607,0.0,-1,-0.021
dense,0000291_02001_d_0000878,172,90.0,0,0.0,-1,0.0018,121,0.0018
dense,0000291_02001_d_0000878,172,2150.0,0,0.0197,630,0.1629,0,0.1432
dense,0000291_02001_d_0000878,172,768.0,1,0.3497,116,0.0067,3,-0.3431
dense,0000291_02001_d_0000878,172,702.0,1,0.2491,144,0.1772,5,-0.0718
dense,0000291_02001_d_0000878,172,988.0,1,0.7871,44,0.7221,1,-0.065
dense,0000291_02001_d_0000878,172,576.0,1,0.7476,54,0.1332,9,-0.6144
dense,0000291_02001_d_0000878,172,15180.0,1,0.8319,24,0.9356,0,0.1037
dense,0000291_02001_d_0000878,172,368.0,1,0.1938,154,0.2,5,0.0062
dense,0000291_02001_d_0000878,172,468.0,1,0.2799,135,0.1399,6,-0.14
dense,0000291_02001_d_0000878,172,2816.0,1,0.7905,43,0.7768,0,-0.0137
